transaction_id,account_id,date,type,description,merchant_category,amount,currency
TX00000044,AC000001,2023-06-20,Deposit,Deposit,,1724.14,MXN
TX00000045,AC000001,2023-09-29,POS Purchase,POS - Pharmacy,Pharmacy,-376.11,MXN
TX00000046,AC000001,2023-03-02,POS Purchase,POS - Electronics,Electronics,-521.91,MXN
TX00000047,AC000001,2022-08-06,Deposit,Deposit,,1826.89,MXN
TX00000048,AC000001,2023-05-22,POS Purchase,POS - Electronics,Electronics,-322.44,MXN
TX00000049,AC000001,2023-07-07,POS Purchase,POS - Restaurants,Restaurants,-1095.41,MXN
TX00000050,AC000001,2023-03-28,Transfer Out,Transfer Out,,-1459.57,MXN
TX00000051,AC000001,2023-01-10,Withdrawal,Withdrawal,,-1715.7,MXN
TX00000052,AC000001,2022-05-07,Withdrawal,Withdrawal,,-1111.37,MXN
TX00000053,AC000001,2023-04-16,POS Purchase,POS - Restaurants,Restaurants,-505.85,MXN
TX00000054,AC000001,2022-02-08,Transfer Out,Transfer Out,,-1738.29,MXN
TX00000055,AC000001,2023-01-14,Withdrawal,Withdrawal,,-206.45,MXN
TX00000056,AC000001,2023-06-16,Deposit,Deposit,,6034.13,MXN
TX00000057,AC000001,2022-04-04,POS Purchase,POS - Restaurants,Restaurants,-551.96,MXN
TX00000058,AC000001,2023-04-13,POS Purchase,POS - Pharmacy,Pharmacy,-774.63,MXN
TX00000059,AC000001,2023-04-11,Fee,Fee,,-73.65,MXN
TX00000060,AC000001,2023-11-07,Transfer Out,Transfer Out,,-1672.63,MXN
TX00000061,AC000001,2022-03-24,Deposit,Deposit,,787.37,MXN
TX00000062,AC000001,2022-10-21,POS Purchase,POS - Groceries,Groceries,-427.78,MXN
TX00000063,AC000001,2022-09-12,POS Purchase,POS - Groceries,Groceries,-112.62,MXN
TX00000064,AC000001,2023-06-06,Withdrawal,Withdrawal,,-1175.34,MXN
TX00000065,AC000001,2022-12-08,POS Purchase,POS - Pharmacy,Pharmacy,-965.65,MXN
TX00000066,AC000001,2023-06-30,Fee,Fee,,-96.78,MXN
TX00000067,AC000001,2022-08-19,Deposit,Deposit,,3517.32,MXN
TX00000068,AC000001,2022-07-22,Transfer Out,Transfer Out,,-2857.38,MXN
TX00000069,AC000001,2023-09-28,POS Purchase,POS - Online,Online,-667.54,MXN
TX00000070,AC000001,2023-11-22,Transfer In,Transfer In,,4850.66,MXN
TX00000071,AC000001,2023-12-11,Withdrawal,Withdrawal,,-636.14,MXN
TX00000072,AC000001,2022-08-09,Transfer Out,Transfer Out,,-748.32,MXN
TX00000073,AC000001,2023-09-14,POS Purchase,POS - Online,Online,-133.42,MXN
TX00000074,AC000001,2023-03-07,Withdrawal,Withdrawal,,-2467.99,MXN
TX00000075,AC000001,2022-03-05,Transfer Out,Transfer Out,,-1749.59,MXN
TX00000076,AC000001,2022-10-12,Transfer Out,Transfer Out,,-1229.93,MXN
TX00000077,AC000001,2022-08-30,Transfer Out,Transfer Out,,-1322.28,MXN
TX00000078,AC000001,2023-11-20,POS Purchase,POS - Groceries,Groceries,-1044.5,MXN
TX00000079,AC000001,2022-12-30,Transfer Out,Transfer Out,,-2893.28,MXN
TX00000080,AC000001,2023-10-08,Transfer In,Transfer In,,4048.51,MXN
TX00000081,AC000001,2022-08-27,POS Purchase,POS - Online,Online,-1791.16,MXN
TX00000082,AC000001,2023-04-28,Withdrawal,Withdrawal,,-1297.89,MXN
TX00000083,AC000001,2023-04-25,POS Purchase,POS - Travel,Travel,-722.01,MXN
TX00000084,AC000001,2022-01-18,Deposit,Deposit,,2610.38,MXN
TX00000085,AC000001,2023-10-01,Transfer Out,Transfer Out,,-2428.43,MXN
TX00000086,AC000001,2023-05-21,Withdrawal,Withdrawal,,-910.83,MXN
TX00000087,AC000001,2023-02-02,POS Purchase,POS - Online,Online,-54.58,MXN
TX00000088,AC000001,2023-01-15,Withdrawal,Withdrawal,,-1813.8,MXN
TX00000089,AC000001,2022-09-22,Withdrawal,Withdrawal,,-1343.42,MXN
TX00000090,AC000001,2023-06-12,POS Purchase,POS - Pharmacy,Pharmacy,-232.83,MXN
TX00000091,AC000001,2022-01-15,Transfer In,Transfer In,,1083.88,MXN
TX00000092,AC000001,2022-01-12,Transfer In,Transfer In,,4713.12,MXN
TX00000093,AC000001,2022-04-22,Deposit,Deposit,,5728.54,MXN
TX00000094,AC000001,2022-06-18,Fee,Fee,,-123.71,MXN
TX00000095,AC000001,2022-03-01,Deposit,Deposit,,878.64,MXN
TX00000096,AC000001,2022-03-16,POS Purchase,POS - Electronics,Electronics,-172.01,MXN
TX00000097,AC000001,2022-12-24,Withdrawal,Withdrawal,,-1918.06,MXN
TX00000098,AC000001,2022-12-04,Transfer Out,Transfer Out,,-449.86,MXN
TX00000099,AC000001,2022-04-18,Transfer Out,Transfer Out,,-4015.99,MXN
TX00000100,AC000001,2023-10-30,Withdrawal,Withdrawal,,-649.31,MXN
TX00000101,AC000001,2023-11-13,Deposit,Deposit,,6062.03,MXN
TX00000102,AC000001,2022-05-20,Withdrawal,Withdrawal,,-796.06,MXN
TX00000103,AC000001,2022-09-30,Transfer Out,Transfer Out,,-1685.15,MXN
TX00000104,AC000001,2022-06-20,POS Purchase,POS - Electronics,Electronics,-1080.34,MXN
TX00000105,AC000001,2023-01-29,Withdrawal,Withdrawal,,-164.93,MXN
TX00000106,AC000001,2022-12-27,Fee,Fee,,-92.54,MXN
TX00000107,AC000001,2022-03-21,Deposit,Deposit,,1773.18,MXN
TX00000108,AC000001,2022-07-15,POS Purchase,POS - Groceries,Groceries,-1014.43,MXN
TX00000109,AC000001,2023-03-18,POS Purchase,POS - Pharmacy,Pharmacy,-578.38,MXN
TX00000110,AC000001,2022-05-27,Fee,Fee,,-41.83,MXN
TX00000111,AC000001,2022-08-03,Withdrawal,Withdrawal,,-2182.79,MXN
TX00000112,AC000001,2023-10-18,POS Purchase,POS - Fuel,Fuel,-1414.77,MXN
TX00000113,AC000001,2023-11-29,Transfer Out,Transfer Out,,-1578.97,MXN
TX00000114,AC000001,2023-10-26,POS Purchase,POS - Fuel,Fuel,-389.61,MXN
TX00000115,AC000001,2022-06-10,Withdrawal,Withdrawal,,-1981.52,MXN
TX00000116,AC000001,2022-08-12,POS Purchase,POS - Electronics,Electronics,-101.49,MXN
TX00000117,AC000001,2023-01-31,POS Purchase,POS - Fuel,Fuel,-281.15,MXN
TX00000118,AC000001,2022-06-12,Withdrawal,Withdrawal,,-156.93,MXN
TX00000119,AC000001,2022-01-11,Deposit,Deposit,,231.14,MXN
TX00000120,AC000001,2023-01-29,Deposit,Deposit,,3884.62,MXN
TX00000121,AC000001,2022-04-28,POS Purchase,POS - Online,Online,-386.69,MXN
TX00000122,AC000001,2022-02-24,Transfer In,Transfer In,,1675.99,MXN
TX00000123,AC000001,2022-08-20,POS Purchase,POS - Groceries,Groceries,-300.63,MXN
TX00000124,AC000001,2023-04-09,POS Purchase,POS - Electronics,Electronics,-1310.91,MXN
TX00000125,AC000001,2023-01-01,Deposit,Deposit,,4194.45,MXN
TX00000126,AC000001,2023-07-22,Transfer Out,Transfer Out,,-1902.21,MXN
TX00000127,AC000001,2022-06-25,Transfer Out,Transfer Out,,-359.51,MXN
TX00000128,AC000001,2023-08-02,Withdrawal,Withdrawal,,-1255.95,MXN
TX00000129,AC000001,2022-08-06,Transfer Out,Transfer Out,,-3140.35,MXN
TX00000130,AC000001,2022-11-21,POS Purchase,POS - Electronics,Electronics,-1031.36,MXN
TX00000131,AC000001,2022-10-26,Transfer In,Transfer In,,6075.19,MXN
TX00000132,AC000001,2022-10-29,Withdrawal,Withdrawal,,-1585.68,MXN
TX00000133,AC000001,2022-10-26,POS Purchase,POS - Groceries,Groceries,-74.92,MXN
TX00000134,AC000001,2023-09-07,Withdrawal,Withdrawal,,-959.77,MXN
TX00000135,AC000001,2022-08-20,POS Purchase,POS - Travel,Travel,-623.54,MXN
TX00000136,AC000001,2022-12-12,Transfer Out,Transfer Out,,-1639.05,MXN
TX00000137,AC000001,2023-07-25,Transfer Out,Transfer Out,,-337.13,MXN
TX00000138,AC000001,2023-07-15,Withdrawal,Withdrawal,,-610.74,MXN
TX00000139,AC000001,2022-10-19,Fee,Fee,,-167.16,MXN
TX00000140,AC000001,2023-01-13,Withdrawal,Withdrawal,,-510.01,MXN
TX00000141,AC000001,2023-01-18,Deposit,Deposit,,2357.89,MXN
TX00000142,AC000001,2022-12-09,Deposit,Deposit,,2724.52,MXN
TX00000143,AC000001,2022-08-08,POS Purchase,POS - Restaurants,Restaurants,-91.67,MXN
TX00000144,AC000001,2022-04-11,Deposit,Deposit,,450.43,MXN
TX00000145,AC000001,2022-06-01,POS Purchase,POS - Pharmacy,Pharmacy,-504.57,MXN
TX00000146,AC000001,2023-10-24,Transfer In,Transfer In,,2336.39,MXN
TX00000147,AC000001,2022-05-25,POS Purchase,POS - Restaurants,Restaurants,-1064.79,MXN
TX00000148,AC000001,2022-05-03,Withdrawal,Withdrawal,,-1103.45,MXN
TX00000149,AC000001,2022-07-28,Transfer Out,Transfer Out,,-1398.71,MXN
TX00000150,AC000001,2023-07-22,POS Purchase,POS - Fuel,Fuel,-634.0,MXN
TX00000151,AC000001,2023-09-15,POS Purchase,POS - Groceries,Groceries,-21.03,MXN
TX00000152,AC000001,2023-10-05,POS Purchase,POS - Electronics,Electronics,-1565.43,MXN
TX00000153,AC000001,2023-01-23,POS Purchase,POS - Pharmacy,Pharmacy,-397.08,MXN
TX00000154,AC000001,2023-04-08,Deposit,Deposit,,2694.06,MXN
TX00000155,AC000001,2023-03-13,Fee,Fee,,-81.23,MXN
TX00000156,AC000001,2023-11-20,Deposit,Deposit,,1881.55,MXN
TX00000157,AC000001,2023-09-29,Fee,Fee,,-18.82,MXN
TX00000158,AC000001,2022-02-07,POS Purchase,POS - Pharmacy,Pharmacy,-1054.49,MXN
TX00000159,AC000001,2023-05-23,POS Purchase,POS - Groceries,Groceries,-777.72,MXN
TX00000160,AC000001,2023-05-26,POS Purchase,POS - Pharmacy,Pharmacy,-1048.98,MXN
TX00000161,AC000001,2023-10-06,POS Purchase,POS - Electronics,Electronics,-1271.13,MXN
TX00000162,AC000001,2023-02-25,Withdrawal,Withdrawal,,-3476.65,MXN
TX00000163,AC000001,2023-01-08,POS Purchase,POS - Restaurants,Restaurants,-1440.52,MXN
TX00000164,AC000002,2022-10-21,Transfer Out,Transfer Out,,-2343.91,MXN
TX00000165,AC000002,2023-12-30,Fee,Fee,,-97.59,MXN
TX00000166,AC000002,2022-01-10,Fee,Fee,,-68.51,MXN
TX00000167,AC000002,2022-03-29,Withdrawal,Withdrawal,,-1023.4,MXN
TX00000168,AC000002,2023-02-04,Withdrawal,Withdrawal,,-796.52,MXN
TX00000169,AC000002,2022-12-29,POS Purchase,POS - Groceries,Groceries,-1046.12,MXN
TX00000170,AC000002,2023-05-09,Deposit,Deposit,,2172.18,MXN
TX00000171,AC000002,2023-04-28,POS Purchase,POS - Electronics,Electronics,-1351.29,MXN
TX00000172,AC000002,2022-07-15,Deposit,Deposit,,2909.82,MXN
TX00000173,AC000002,2023-09-09,Transfer Out,Transfer Out,,-527.95,MXN
TX00000174,AC000002,2022-08-02,Withdrawal,Withdrawal,,-1351.57,MXN
TX00000175,AC000002,2023-04-13,Transfer Out,Transfer Out,,-2565.83,MXN
TX00000176,AC000002,2023-02-16,Transfer Out,Transfer Out,,-171.89,MXN
TX00000177,AC000002,2023-04-30,POS Purchase,POS - Restaurants,Restaurants,-576.14,MXN
TX00000178,AC000002,2023-05-23,Withdrawal,Withdrawal,,-1392.46,MXN
TX00000179,AC000002,2023-07-17,Withdrawal,Withdrawal,,-558.2,MXN
TX00000180,AC000002,2023-05-13,POS Purchase,POS - Fuel,Fuel,-232.14,MXN
TX00000181,AC000002,2023-07-25,Withdrawal,Withdrawal,,-1766.4,MXN
TX00000182,AC000002,2023-12-14,Deposit,Deposit,,9139.16,MXN
TX00000183,AC000002,2023-10-27,Withdrawal,Withdrawal,,-2350.19,MXN
TX00000184,AC000002,2022-11-10,Deposit,Deposit,,965.85,MXN
TX00000185,AC000002,2023-07-25,Withdrawal,Withdrawal,,-121.82,MXN
TX00000186,AC000002,2023-12-09,Withdrawal,Withdrawal,,-1022.74,MXN
TX00000187,AC000002,2022-10-22,POS Purchase,POS - Online,Online,-760.11,MXN
TX00000188,AC000002,2023-02-03,POS Purchase,POS - Restaurants,Restaurants,-817.18,MXN
TX00000189,AC000002,2023-04-01,POS Purchase,POS - Online,Online,-66.99,MXN
TX00000190,AC000002,2022-05-09,Transfer Out,Transfer Out,,-998.92,MXN
TX00000191,AC000002,2022-06-25,Withdrawal,Withdrawal,,-3689.24,MXN
TX00000192,AC000002,2022-06-10,POS Purchase,POS - Travel,Travel,-158.65,MXN
TX00000193,AC000002,2022-07-18,Transfer Out,Transfer Out,,-1938.47,MXN
TX00000194,AC000002,2023-06-11,Deposit,Deposit,,4282.43,MXN
TX00000195,AC000002,2023-11-26,POS Purchase,POS - Pharmacy,Pharmacy,-988.58,MXN
TX00000196,AC000002,2022-09-09,Withdrawal,Withdrawal,,-166.18,MXN
TX00000197,AC000002,2023-02-25,POS Purchase,POS - Online,Online,-233.59,MXN
TX00000198,AC000002,2022-09-30,POS Purchase,POS - Fuel,Fuel,-617.33,MXN
TX00000199,AC000002,2023-12-06,Withdrawal,Withdrawal,,-572.11,MXN
TX00000200,AC000002,2022-07-21,POS Purchase,POS - Groceries,Groceries,-220.69,MXN
TX00000201,AC000002,2022-04-12,Deposit,Deposit,,0.11,MXN
TX00000202,AC000002,2022-09-03,Transfer In,Transfer In,,3787.94,MXN
TX00000203,AC000002,2023-02-01,Transfer In,Transfer In,,4231.89,MXN
TX00000204,AC000002,2022-12-29,POS Purchase,POS - Fuel,Fuel,-679.87,MXN
TX00000205,AC000002,2023-06-24,Transfer In,Transfer In,,1151.19,MXN
TX00000206,AC000002,2022-07-07,Transfer In,Transfer In,,3066.84,MXN
TX00000207,AC000002,2022-08-08,Withdrawal,Withdrawal,,-4377.25,MXN
TX00000208,AC000002,2023-04-22,POS Purchase,POS - Online,Online,-716.32,MXN
TX00000209,AC000002,2022-04-01,Deposit,Deposit,,7016.49,MXN
TX00000210,AC000002,2023-09-05,POS Purchase,POS - Pharmacy,Pharmacy,-194.28,MXN
TX00000211,AC000002,2023-08-31,Transfer Out,Transfer Out,,-2476.95,MXN
TX00000212,AC000002,2022-02-10,Deposit,Deposit,,1454.96,MXN
TX00000213,AC000002,2023-09-16,Transfer In,Transfer In,,4738.94,MXN
TX00000214,AC000002,2023-06-14,Withdrawal,Withdrawal,,-580.69,MXN
TX00000215,AC000002,2022-01-21,Deposit,Deposit,,3390.36,MXN
TX00000216,AC000002,2023-07-27,Withdrawal,Withdrawal,,-38.03,MXN
TX00000217,AC000002,2023-06-16,POS Purchase,POS - Restaurants,Restaurants,-688.1,MXN
TX00000218,AC000002,2022-08-16,POS Purchase,POS - Groceries,Groceries,-363.71,MXN
TX00000219,AC000002,2022-01-03,Deposit,Deposit,,3070.88,MXN
TX00000220,AC000002,2023-04-16,Deposit,Deposit,,2167.94,MXN
TX00000221,AC000002,2022-03-25,POS Purchase,POS - Restaurants,Restaurants,-755.66,MXN
TX00000222,AC000002,2023-03-05,POS Purchase,POS - Fuel,Fuel,-314.49,MXN
TX00000223,AC000002,2022-12-26,POS Purchase,POS - Pharmacy,Pharmacy,-946.73,MXN
TX00000224,AC000002,2022-10-13,Transfer In,Transfer In,,2623.16,MXN
TX00000225,AC000002,2023-04-16,Transfer In,Transfer In,,2135.81,MXN
TX00000226,AC000002,2022-07-07,Withdrawal,Withdrawal,,-1180.44,MXN
TX00000227,AC000002,2023-02-28,POS Purchase,POS - Travel,Travel,-733.09,MXN
TX00000228,AC000002,2023-10-12,Deposit,Deposit,,1100.41,MXN
TX00000229,AC000002,2022-04-10,POS Purchase,POS - Fuel,Fuel,-272.81,MXN
TX00000230,AC000002,2022-07-01,Withdrawal,Withdrawal,,-1624.53,MXN
TX00000231,AC000002,2022-11-22,POS Purchase,POS - Pharmacy,Pharmacy,-136.58,MXN
TX00000232,AC000002,2023-12-20,Withdrawal,Withdrawal,,-2931.49,MXN
TX00000233,AC000002,2023-08-10,Deposit,Deposit,,3273.02,MXN
TX00000234,AC000002,2022-03-09,POS Purchase,POS - Groceries,Groceries,-663.95,MXN
TX00000235,AC000002,2022-06-15,Transfer Out,Transfer Out,,-3355.32,MXN
TX00000236,AC000002,2022-05-02,Withdrawal,Withdrawal,,-523.77,MXN
TX00000237,AC000002,2023-02-02,Deposit,Deposit,,3918.37,MXN
TX00000238,AC000002,2022-12-11,Transfer In,Transfer In,,6813.61,MXN
TX00000239,AC000002,2023-05-22,Transfer In,Transfer In,,699.77,MXN
TX00000240,AC000002,2022-08-29,POS Purchase,POS - Pharmacy,Pharmacy,-493.54,MXN
TX00000241,AC000002,2023-08-28,POS Purchase,POS - Pharmacy,Pharmacy,-995.07,MXN
TX00000242,AC000002,2022-01-28,POS Purchase,POS - Online,Online,-352.66,MXN
TX00000243,AC000002,2022-03-09,Fee,Fee,,-122.8,MXN
TX00000244,AC000002,2023-04-17,POS Purchase,POS - Fuel,Fuel,-424.53,MXN
TX00000245,AC000002,2023-10-03,POS Purchase,POS - Pharmacy,Pharmacy,-1345.1,MXN
TX00000246,AC000002,2023-12-22,POS Purchase,POS - Groceries,Groceries,-1043.88,MXN
TX00000247,AC000002,2022-10-09,POS Purchase,POS - Fuel,Fuel,-12.86,MXN
TX00000248,AC000002,2023-05-19,Withdrawal,Withdrawal,,-776.92,MXN
TX00000249,AC000002,2022-11-22,Transfer Out,Transfer Out,,-3433.66,MXN
TX00000250,AC000002,2023-02-14,Transfer In,Transfer In,,2496.79,MXN
TX00000251,AC000002,2022-05-08,POS Purchase,POS - Groceries,Groceries,-949.42,MXN
TX00000252,AC000002,2023-06-11,POS Purchase,POS - Groceries,Groceries,-35.87,MXN
TX00000253,AC000002,2023-02-16,Withdrawal,Withdrawal,,-2396.55,MXN
TX00000254,AC000002,2023-11-28,Deposit,Deposit,,7140.55,MXN
TX00000255,AC000002,2022-02-27,Withdrawal,Withdrawal,,-1444.03,MXN
TX00000256,AC000002,2022-01-09,Transfer Out,Transfer Out,,-3478.58,MXN
TX00000257,AC000002,2022-02-19,Transfer In,Transfer In,,7288.67,MXN
TX00000258,AC000002,2022-03-04,Fee,Fee,,-40.68,MXN
TX00000259,AC000002,2023-04-02,POS Purchase,POS - Online,Online,-1096.02,MXN
TX00000260,AC000002,2023-05-07,POS Purchase,POS - Groceries,Groceries,-1210.04,MXN
TX00000261,AC000002,2022-03-24,Deposit,Deposit,,1959.14,MXN
TX00000262,AC000002,2023-08-21,POS Purchase,POS - Online,Online,-974.12,MXN
TX00000263,AC000002,2023-12-16,Transfer In,Transfer In,,2698.1,MXN
TX00000264,AC000002,2023-06-16,Withdrawal,Withdrawal,,-1699.65,MXN
TX00000265,AC000002,2023-06-02,Transfer Out,Transfer Out,,-2804.77,MXN
TX00000266,AC000002,2023-02-05,Fee,Fee,,-54.66,MXN
TX00000267,AC000002,2023-11-22,Deposit,Deposit,,5216.67,MXN
TX00000268,AC000002,2023-08-02,Deposit,Deposit,,5087.04,MXN
TX00000269,AC000002,2023-10-08,POS Purchase,POS - Pharmacy,Pharmacy,-171.48,MXN
TX00000270,AC000002,2022-01-05,Transfer Out,Transfer Out,,-520.23,MXN
TX00000271,AC000002,2022-10-08,POS Purchase,POS - Restaurants,Restaurants,-716.04,MXN
TX00000272,AC000002,2023-06-17,Transfer In,Transfer In,,5010.03,MXN
TX00000273,AC000002,2023-04-27,Withdrawal,Withdrawal,,-1714.95,MXN
TX00000274,AC000002,2023-05-18,Deposit,Deposit,,5681.57,MXN
TX00000275,AC000002,2023-01-28,Fee,Fee,,-47.07,MXN
TX00000276,AC000002,2022-06-13,POS Purchase,POS - Fuel,Fuel,-330.37,MXN
TX00000277,AC000002,2023-06-06,Deposit,Deposit,,3739.52,MXN
TX00000278,AC000002,2022-06-07,Transfer Out,Transfer Out,,-1216.12,MXN
TX00000279,AC000003,2023-09-15,Withdrawal,Withdrawal,,-2685.64,MXN
TX00000280,AC000003,2023-02-19,Transfer Out,Transfer Out,,-2329.71,MXN
TX00000281,AC000003,2022-02-25,Withdrawal,Withdrawal,,-3831.79,MXN
TX00000282,AC000003,2023-04-06,Withdrawal,Withdrawal,,-877.0,MXN
TX00000283,AC000003,2022-05-08,Deposit,Deposit,,1749.48,MXN
TX00000284,AC000003,2022-08-01,Withdrawal,Withdrawal,,-782.57,MXN
TX00000285,AC000003,2023-08-03,Transfer In,Transfer In,,2604.18,MXN
TX00000286,AC000003,2022-08-30,Transfer Out,Transfer Out,,-1996.9,MXN
TX00000287,AC000003,2022-10-14,POS Purchase,POS - Groceries,Groceries,-772.05,MXN
TX00000288,AC000003,2023-08-27,Fee,Fee,,-91.22,MXN
TX00000289,AC000003,2022-12-07,Withdrawal,Withdrawal,,-718.33,MXN
TX00000290,AC000003,2023-07-26,Transfer In,Transfer In,,276.39,MXN
TX00000291,AC000003,2023-10-29,POS Purchase,POS - Pharmacy,Pharmacy,-417.35,MXN
TX00000292,AC000003,2022-05-20,Fee,Fee,,-128.09,MXN
TX00000293,AC000003,2023-10-28,Withdrawal,Withdrawal,,-2749.14,MXN
TX00000294,AC000003,2023-02-16,Fee,Fee,,-105.63,MXN
TX00000295,AC000003,2022-02-07,Deposit,Deposit,,3788.63,MXN
TX00000296,AC000003,2022-07-25,Transfer Out,Transfer Out,,-551.46,MXN
TX00000297,AC000003,2023-06-04,POS Purchase,POS - Pharmacy,Pharmacy,-11.61,MXN
TX00000298,AC000003,2023-12-30,POS Purchase,POS - Online,Online,-505.28,MXN
TX00000299,AC000003,2022-02-28,Transfer In,Transfer In,,5644.05,MXN
TX00000300,AC000003,2023-06-13,Transfer Out,Transfer Out,,-79.24,MXN
TX00000301,AC000003,2023-07-23,Withdrawal,Withdrawal,,-1016.98,MXN
TX00000302,AC000003,2023-01-11,POS Purchase,POS - Pharmacy,Pharmacy,-122.98,MXN
TX00000303,AC000003,2022-09-04,Transfer Out,Transfer Out,,-293.85,MXN
TX00000304,AC000003,2023-05-27,POS Purchase,POS - Online,Online,-981.18,MXN
TX00000305,AC000003,2022-06-30,Withdrawal,Withdrawal,,-829.46,MXN
TX00000306,AC000003,2022-09-30,Transfer Out,Transfer Out,,-2254.77,MXN
TX00000307,AC000003,2022-10-31,Transfer In,Transfer In,,3523.9,MXN
TX00000308,AC000003,2022-05-05,Deposit,Deposit,,4264.39,MXN
TX00000309,AC000003,2022-12-22,Transfer Out,Transfer Out,,-648.09,MXN
TX00000310,AC000003,2023-03-13,Deposit,Deposit,,1168.88,MXN
TX00000311,AC000003,2023-09-10,Withdrawal,Withdrawal,,-3008.18,MXN
TX00000312,AC000003,2022-07-08,Deposit,Deposit,,1467.9,MXN
TX00000313,AC000003,2022-04-11,Transfer Out,Transfer Out,,-3494.67,MXN
TX00000314,AC000003,2023-07-23,Transfer In,Transfer In,,2798.07,MXN
TX00000315,AC000003,2022-05-14,Deposit,Deposit,,4718.14,MXN
TX00000316,AC000003,2023-12-26,Deposit,Deposit,,3554.39,MXN
TX00000317,AC000003,2022-05-02,Transfer In,Transfer In,,6912.35,MXN
TX00000318,AC000003,2023-02-21,POS Purchase,POS - Electronics,Electronics,-1021.61,MXN
TX00000319,AC000003,2023-01-21,Deposit,Deposit,,3856.0,MXN
TX00000320,AC000003,2023-03-05,POS Purchase,POS - Travel,Travel,-366.89,MXN
TX00000321,AC000003,2023-08-08,Deposit,Deposit,,6671.09,MXN
TX00000322,AC000003,2022-01-04,Withdrawal,Withdrawal,,-1853.37,MXN
TX00000323,AC000003,2022-06-22,POS Purchase,POS - Pharmacy,Pharmacy,-80.45,MXN
TX00000324,AC000003,2023-10-13,POS Purchase,POS - Groceries,Groceries,-291.54,MXN
TX00000325,AC000003,2023-12-27,POS Purchase,POS - Fuel,Fuel,-418.84,MXN
