card_tx_id,card_id,date,merchant_category,amount_mxn,currency,card_program_variant
CCT00000070,CC0000001,2023-01-18,Electronics,-703.34,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000028,CC0000001,2023-01-31,Online,-1137.71,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000016,CC0000001,2023-02-02,Electronics,-519.99,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000049,CC0000001,2023-02-11,Groceries,-207.51,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000046,CC0000001,2023-02-22,Fuel,-682.48,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000003,CC0000001,2023-02-24,Pharmacy,-30.7,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000087,CC0000001,2023-02-28,Online,-478.09,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000018,CC0000001,2023-03-21,Online,-499.78,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000052,CC0000001,2023-03-30,Travel,-475.92,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000039,CC0000001,2023-04-01,Electronics,-405.17,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000027,CC0000001,2023-04-02,Travel,-236.73,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000071,CC0000001,2023-04-02,Refund,433.98,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000092,CC0000001,2023-04-03,Travel,-670.16,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000009,CC0000001,2023-04-15,Pharmacy,-962.44,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000068,CC0000001,2023-04-16,Refund,1205.86,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000051,CC0000001,2023-04-21,Restaurants,-584.05,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000014,CC0000001,2023-04-22,Groceries,-331.93,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000043,CC0000001,2023-05-04,Online,-252.95,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000044,CC0000001,2023-05-09,Online,-792.92,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000078,CC0000001,2023-05-16,Groceries,-751.67,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000025,CC0000001,2023-05-18,Travel,-1612.68,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000036,CC0000001,2023-06-06,Electronics,-2156.42,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000033,CC0000001,2023-06-16,Online,-1702.82,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000045,CC0000001,2023-06-19,Restaurants,-249.48,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000079,CC0000001,2023-06-24,Online,-401.18,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000042,CC0000001,2023-06-29,Pharmacy,-195.04,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000030,CC0000001,2023-07-01,Electronics,-958.4,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000072,CC0000001,2023-07-01,Groceries,-1174.63,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000047,CC0000001,2023-07-05,Pharmacy,-1025.3,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000008,CC0000001,2023-07-30,Restaurants,-1276.48,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000061,CC0000001,2023-08-13,Refund,1364.9,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000032,CC0000001,2023-08-15,Electronics,-30.97,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000066,CC0000001,2023-08-18,Pharmacy,-526.96,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000058,CC0000001,2023-08-23,Fuel,-826.41,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000081,CC0000001,2023-09-01,Travel,-1279.41,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000094,CC0000001,2023-09-01,Online,-1312.83,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000062,CC0000001,2023-09-10,Online,-325.54,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000022,CC0000001,2023-09-13,Pharmacy,-140.31,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000089,CC0000001,2023-09-21,Travel,-1773.81,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000054,CC0000001,2023-10-03,Online,-1152.96,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000004,CC0000001,2023-10-07,Groceries,-1172.77,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000084,CC0000001,2023-10-11,Fuel,-826.34,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000085,CC0000001,2023-10-25,Online,-1045.22,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000013,CC0000001,2023-11-11,Travel,-783.88,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000048,CC0000001,2023-11-11,Fuel,-362.51,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000017,CC0000001,2023-11-23,Online,-1000.62,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000055,CC0000001,2023-11-23,Pharmacy,-1344.65,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000077,CC0000001,2023-11-25,Pharmacy,-289.27,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000065,CC0000001,2023-12-03,Pharmacy,-1483.75,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000095,CC0000001,2023-12-18,Fuel,-165.23,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000024,CC0000001,2023-12-26,Travel,-25.36,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000002,CC0000001,2023-12-28,Electronics,-405.33,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000096,CC0000001,2023-12-30,Groceries,-439.64,MXN,"{""payment_options"":{""number_payments"":6,""apr"":0},""type"":""platinum""}"
CCT00000134,CC0000002,2022-01-09,Travel,-589.94,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000162,CC0000002,2022-01-11,Restaurants,-1043.8,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000161,CC0000002,2022-01-12,Refund,523.83,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000139,CC0000002,2022-01-21,Online,-470.95,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000119,CC0000002,2022-01-25,Refund,1904.41,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000165,CC0000002,2022-01-29,Refund,1222.99,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000152,CC0000002,2022-02-11,Pharmacy,-2319.49,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000182,CC0000002,2022-02-22,Refund,405.07,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000102,CC0000002,2022-02-23,Online,-680.3,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000180,CC0000002,2022-02-23,Fuel,-686.25,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000143,CC0000002,2022-02-24,Travel,-1058.17,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000103,CC0000002,2022-03-08,Groceries,-100.94,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000135,CC0000002,2022-03-12,Refund,1200.98,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000104,CC0000002,2022-04-09,Groceries,-944.79,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000120,CC0000002,2022-04-15,Fuel,-1137.01,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000189,CC0000002,2022-04-18,Restaurants,-295.44,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000145,CC0000002,2022-04-26,Fuel,-675.73,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000123,CC0000002,2022-05-23,Travel,-1881.17,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000127,CC0000002,2022-05-23,Fuel,-1365.9,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000130,CC0000002,2022-06-03,Electronics,-942.51,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000114,CC0000002,2022-06-04,Restaurants,-1080.16,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000110,CC0000002,2022-06-05,Groceries,-29.47,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000185,CC0000002,2022-06-09,Online,-912.9,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000154,CC0000002,2022-06-15,Fuel,-560.1,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000160,CC0000002,2022-06-15,Electronics,-764.84,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000163,CC0000002,2022-06-18,Online,-455.33,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000183,CC0000002,2022-06-20,Groceries,-1113.36,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000181,CC0000002,2022-06-30,Online,-776.06,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000141,CC0000002,2022-07-09,Restaurants,-36.74,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000140,CC0000002,2022-07-14,Electronics,-1778.46,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000169,CC0000002,2022-07-23,Pharmacy,-116.94,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000167,CC0000002,2022-07-30,Groceries,-757.72,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000131,CC0000002,2022-08-05,Pharmacy,-409.43,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000158,CC0000002,2022-08-10,Pharmacy,-979.82,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000166,CC0000002,2022-08-12,Online,-921.22,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000129,CC0000002,2022-08-15,Electronics,-478.64,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000178,CC0000002,2022-08-18,Fuel,-884.7,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000124,CC0000002,2022-09-03,Fuel,-621.38,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000147,CC0000002,2022-09-21,Online,-343.83,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000179,CC0000002,2022-09-23,Travel,-700.62,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000112,CC0000002,2022-09-24,Pharmacy,-1344.24,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000186,CC0000002,2022-11-18,Electronics,-497.49,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000146,CC0000002,2022-11-20,Groceries,-515.66,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000177,CC0000002,2022-11-26,Online,-200.0,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000184,CC0000002,2022-12-01,Online,-1060.59,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000171,CC0000002,2022-12-04,Travel,-314.34,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000151,CC0000002,2022-12-10,Pharmacy,-718.05,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000172,CC0000002,2023-01-06,Fuel,-363.35,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000109,CC0000002,2023-01-10,Pharmacy,-92.6,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000150,CC0000002,2023-01-10,Restaurants,-551.95,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000108,CC0000002,2023-01-24,Electronics,-82.97,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000173,CC0000002,2023-02-07,Pharmacy,-334.76,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000126,CC0000002,2023-02-22,Groceries,-1120.82,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000148,CC0000002,2023-03-14,Refund,272.03,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000155,CC0000002,2023-03-14,Electronics,-1674.3,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000113,CC0000002,2023-03-19,Restaurants,-85.85,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000121,CC0000002,2023-04-16,Refund,538.08,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000187,CC0000002,2023-04-21,Electronics,-1349.76,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000133,CC0000002,2023-05-09,Online,-544.02,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000190,CC0000002,2023-05-09,Restaurants,-138.7,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000159,CC0000002,2023-05-15,Restaurants,-1060.03,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000191,CC0000002,2023-05-15,Electronics,-1302.17,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000157,CC0000002,2023-05-30,Online,-526.43,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000118,CC0000002,2023-06-06,Pharmacy,-1813.04,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000106,CC0000002,2023-06-18,Online,-370.79,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000174,CC0000002,2023-07-06,Groceries,-798.11,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000107,CC0000002,2023-07-15,Electronics,-86.59,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000125,CC0000002,2023-07-20,Restaurants,-799.25,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000156,CC0000002,2023-08-17,Online,-979.64,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000153,CC0000002,2023-09-07,Electronics,-432.73,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000149,CC0000002,2023-09-19,Restaurants,-1264.0,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000144,CC0000002,2023-09-20,Electronics,-1322.94,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000116,CC0000002,2023-09-24,Electronics,-1031.52,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000170,CC0000002,2023-10-03,Fuel,-888.56,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000175,CC0000002,2023-10-10,Groceries,-336.4,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000117,CC0000002,2023-10-15,Refund,553.76,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000176,CC0000002,2023-10-16,Electronics,-488.19,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000188,CC0000002,2023-10-16,Pharmacy,-793.61,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000136,CC0000002,2023-10-18,Restaurants,-1643.68,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000138,CC0000002,2023-10-22,Restaurants,-90.21,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000168,CC0000002,2023-10-29,Groceries,-1080.8,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000137,CC0000002,2023-11-09,Electronics,-673.79,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000128,CC0000002,2023-11-10,Travel,-684.8,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000122,CC0000002,2023-11-19,Refund,433.7,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000132,CC0000002,2023-11-20,Pharmacy,-565.06,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000164,CC0000002,2023-12-10,Groceries,-1039.87,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000111,CC0000002,2023-12-14,Electronics,-2034.87,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000142,CC0000002,2023-12-22,Electronics,-331.21,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000115,CC0000002,2023-12-24,Groceries,-262.36,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000105,CC0000002,2023-12-27,Groceries,-1133.4,MXN,"{""payment_options"":{""number_payments"":1,""apr"":0},""type"":""cashback""}"
CCT00000303,CC0000003,2022-01-01,Electronics,-522.1,MXN,"{""payment_options"":{""number_payments"":12,""apr"":18.35},""type"":""silver""}"
CCT00000202,CC0000003,2022-01-13,Groceries,-343.55,MXN,"{""payment_options"":{""number_payments"":12,""apr"":18.35},""type"":""silver""}"
